Schulnummer;Kurzbezeichnung;Bezirksregierung;Kreis;Gemeinde;Sozialindexstufe
130722;Herne, GG Kunterbunt;BR Arnsberg;Stadt Herne;Herne;6
130734;Herne, GG an der B��nghauser Straߥ;BR Arnsberg;Stadt Herne;Herne;2
130758;Iserlohn, GG B��rg;BR Arnsberg;M䲫ischen Kreis;Iserlohn;4
130760;Iserlohn, GG Lichte Kammer;BR Arnsberg;M䲫ischen Kreis;Iserlohn;4
130783;Iserlohn, GG (Verb.) Nuߢerg;BR Arnsberg;M䲫ischen Kreis;Iserlohn;3
130795;Iserlohn, GG Im Wiesengrund;BR Arnsberg;M䲫ischen Kreis;Iserlohn;5
130813;Iserlohn, GG Burgschule;BR Arnsberg;M䲫ischen Kreis;Iserlohn;5
130825;Iserlohn, GG Sdschule;BR Arnsberg;M䲫ischen Kreis;Iserlohn;5
130849;Lnen, GG Wittekind;BR Arnsberg;Kreis Unna;Lnen;7
130850;Lnen, GG (Verb.) Osterfeld;BR Arnsberg;Kreis Unna;Lnen;4
130862;Lnen, GG (Verb.) Overbergschule;BR Arnsberg;Kreis Unna;Lnen;5
130874;Lnen, GG Viktoria;BR Arnsberg;Kreis Unna;Lnen;6
130886;Lnen, KG Elisabeth;BR Arnsberg;Kreis Unna;Lnen;3
130898;Lnen, KG Leo;BR Arnsberg;Kreis Unna;Lnen;2
130904;Lnen, GG Schule am Lserbach;BR Arnsberg;Kreis Unna;Lnen;2
130977;Herne, GG am Eickeler Park;BR Arnsberg;Stadt Herne;Herne;2
130989;Herne, GG Freiherr-vom-Stein-Schule;BR Arnsberg;Stadt Herne;Herne;6
130990;Herne, GG Sonnenschule;BR Arnsberg;Stadt Herne;Herne;4
131003;Herne, GG Horstschule;BR Arnsberg;Stadt Herne;Herne;4
131015;Herne, GG Sdschule;BR Arnsberg;Stadt Herne;Herne;5
131027;Herne, GG Laurentiusschule;BR Arnsberg;Stadt Herne;Herne;4
131039;Herne, GG Claudiusschule;BR Arnsberg;Stadt Herne;Herne;4
131040;Herne, GG Michaelschule;BR Arnsberg;Stadt Herne;Herne;4
131052;Herne, GG Europaschule K��straߥ;BR Arnsberg;Stadt Herne;Herne;3
131064;Herne, GG Josefschule;BR Arnsberg;Stadt Herne;Herne;6
131088;Bochum, GG Kirchschule H��op;BR Arnsberg;Stadt Bochum;Bochum;3
131090;Bochum, GG Westenfeld;BR Arnsberg;Stadt Bochum;Bochum;4
131120;Bochum, GG Regenbogen;BR Arnsberg;Stadt Bochum;Bochum;3
131131;Bochum, GG Gnnigfeld;BR Arnsberg;Stadt Bochum;Bochum;4
131155;Bochum, GG Glckaufschule;BR Arnsberg;Stadt Bochum;Bochum;5
131167;Bochum, GG Leithe;BR Arnsberg;Stadt Bochum;Bochum;4
131179;Bochum, GG Dietrich-Bonhoeffer;BR Arnsberg;Stadt Bochum;Bochum;2
131209;Witten, GG Bruch;BR Arnsberg;Ennepe-Ruhr-Kreis;Witten;3
131210;Witten, GG Crengeldanzschule;BR Arnsberg;Ennepe-Ruhr-Kreis;Witten;4
131222;Witten, GG Rdinghauser;BR Arnsberg;Ennepe-Ruhr-Kreis;Witten;1
131234;Witten, GG Dorfschule;BR Arnsberg;Ennepe-Ruhr-Kreis;Witten;2
131246;Witten, GG Hellwegschule;BR Arnsberg;Ennepe-Ruhr-Kreis;Witten;3
131260;Witten, GG Hllbergschule;BR Arnsberg;Ennepe-Ruhr-Kreis;Witten;2
131271;Witten, GG Erlenschule;BR Arnsberg;Ennepe-Ruhr-Kreis;Witten;4
131283;Witten, GG Harkort;BR Arnsberg;Ennepe-Ruhr-Kreis;Witten;1
131295;Witten, GG Baedeker;BR Arnsberg;Ennepe-Ruhr-Kreis;Witten;4
131301;Witten, GG Borbach;BR Arnsberg;Ennepe-Ruhr-Kreis;Witten;1
131313;Witten, GG Gerichtsschule;BR Arnsberg;Ennepe-Ruhr-Kreis;Witten;7
131325;Witten, GG Bredde;BR Arnsberg;Ennepe-Ruhr-Kreis;Witten;6
131337;Witten, GG Brenschen;BR Arnsberg;Ennepe-Ruhr-Kreis;Witten;2
131350;Altena, GG Breitenhagen;BR Arnsberg;M䲫ischen Kreis;Altena;4
131404;Plettenberg, GG Holthausen;BR Arnsberg;M䲫ischen Kreis;Plettenberg;1
131430;Plettenberg, GG (Verb.) Hallenschule;BR Arnsberg;M䲫ischen Kreis;Plettenberg;3
131441;Plettenberg, GG Eschenschule;BR Arnsberg;M䲫ischen Kreis;Plettenberg;5
131453;Plettenberg, GG (Verb.) Martin-Luther;BR Arnsberg;M䲫ischen Kreis;Plettenberg;3
131477;Werdohl, GG (Verb.) Feldstraߥ;BR Arnsberg;M䲫ischen Kreis;Werdohl;3
131507;Werdohl, KG St.Michael-Schule;BR Arnsberg;M䲫ischen Kreis;Werdohl;4
131519;Werdohl, EG Martin Luther;BR Arnsberg;M䲫ischen Kreis;Werdohl;4
131556;Nachrodt-Wiblingwerde,GG (Verb.)Nachrodt;BR Arnsberg;M䲫ischen Kreis;Nachrodt-Wiblingwerde;2
131568;Halver, GG (Verb.) Regenbogenschule;BR Arnsberg;M䲫ischen Kreis;Halver;2
131581;Halver, GG Lindenhofschule;BR Arnsberg;M䲫ischen Kreis;Halver;3
131600;Kierspe, GG (Verb.) Bismarckschule;BR Arnsberg;M䲫ischen Kreis;Kierspe;2
131611;Kierspe, GG (Verb.) Pestalozzi;BR Arnsberg;M䲫ischen Kreis;Kierspe;2
131623;Ldenscheid, GG L��bach;BR Arnsberg;M䲫ischen Kreis;Ldenscheid;2
131635;Ldenscheid, GG Otfried-Preu߬er-Schule;BR Arnsberg;M䲫ischen Kreis;Ldenscheid;2
131659;Ldenscheid, GG Adolf-Kolping-Schule;BR Arnsberg;M䲫ischen Kreis;Ldenscheid;4
131660;Ldenscheid, GG Pestalozzi;BR Arnsberg;M䲫ischen Kreis;Ldenscheid;4
131684;Ldenscheid, GG Westschule;BR Arnsberg;M䲫ischen Kreis;Ldenscheid;5
131702;Ldenscheid, GG Knapper;BR Arnsberg;M䲫ischen Kreis;Ldenscheid;5
131738;Ldenscheid, GG Bierbaum;BR Arnsberg;M䲫ischen Kreis;Ldenscheid;3
131751;Ldenscheid, GG Wehberger;BR Arnsberg;M䲫ischen Kreis;Ldenscheid;4
131775;Meinerzhagen, GG Auf der Wahr;BR Arnsberg;M䲫ischen Kreis;Meinerzhagen;3
131799;Meinerzhagen, GG Ebbeschule-Valbert;BR Arnsberg;M䲫ischen Kreis;Meinerzhagen;1
131817;Neuenrade, GG (Verb.) Burgschule;BR Arnsberg;M䲫ischen Kreis;Neuenrade;3
131842;Schalksmhle, GG Spormecke;BR Arnsberg;M䲫ischen Kreis;Schalksmhle;1
131854;Arnsberg, GG Norbertusschule;BR Arnsberg;Hochsauerlandkreis;Arnsberg;3
131866;Arnsberg, KG Kath. Johannesschule;BR Arnsberg;Hochsauerlandkreis;Arnsberg;2
131878;Arnsberg, GG (Verb.) Regenbogen;BR Arnsberg;Hochsauerlandkreis;Arnsberg;2
131880;Arnsberg, GG Adolf-Sauer-Schule;BR Arnsberg;Hochsauerlandkreis;Arnsberg;3
131891;Arnsberg, GG Moosfelde;BR Arnsberg;Hochsauerlandkreis;Arnsberg;4
131910;Arnsberg, KG R��BR Arnsberg;Hochsauerlandkreis;Arnsberg;3;
131921;Arnsberg, GG Mhlenberg;BR Arnsberg;Hochsauerlandkreis;Arnsberg;2
131933;Arnsberg, GG Graf-Gottfried-Schule;BR Arnsberg;Hochsauerlandkreis;Arnsberg;2
131945;Arnsberg, GG St.Michael;BR Arnsberg;Hochsauerlandkreis;Arnsberg;2
131957;Arnsberg, KG St.Josef-Bergheim;BR Arnsberg;Hochsauerlandkreis;Arnsberg;1
131970;Balve, GG St. Johannes Balve;BR Arnsberg;M䲫ischen Kreis;Balve;2
131982;Balve, GG Beckum;BR Arnsberg;M䲫ischen Kreis;Balve;1
132007;Balve, KG Dreik��e;BR Arnsberg;M䲫ischen Kreis;Balve;1
132020;Meschede, KG (Verb.) St. Nikolaus-Schule;BR Arnsberg;Hochsauerlandkreis;Meschede;1
132044;Arnsberg, KG Dinschede;BR Arnsberg;Hochsauerlandkreis;Arnsberg;1
132068;Arnsberg, KG Rodentelgenschule;BR Arnsberg;Hochsauerlandkreis;Arnsberg;2
132081;Sundern, KG Hachen;BR Arnsberg;Hochsauerlandkreis;Sundern;2
132093;Arnsberg,KG (Verb.)Kath. Heinrich-Knoche;BR Arnsberg;Hochsauerlandkreis;Arnsberg;2
132135;Arnsberg, KG Mschede;BR Arnsberg;Hochsauerlandkreis;Arnsberg;1
132160;Arnsberg, KG Urbanus;BR Arnsberg;Hochsauerlandkreis;Arnsberg;1
132172;Sundern, KG Allendorf;BR Arnsberg;Hochsauerlandkreis;Sundern;2
132202;Sundern, KG Sebastianschule;BR Arnsberg;Hochsauerlandkreis;Sundern;2
132214;Sundern, KG Johannes;BR Arnsberg;Hochsauerlandkreis;Sundern;2
132226;Sundern, KG (Verb.) Marienschule;BR Arnsberg;Hochsauerlandkreis;Sundern;2
132287;Warstein, KG (Verb.) Lioba-Schule;BR Arnsberg;Kreis Soest;Warstein;3
132299;Brilon, KG St.Engelbert-Schule;BR Arnsberg;Hochsauerlandkreis;Brilon;3
132317;Brilon, KG Ratmerstein;BR Arnsberg;Hochsauerlandkreis;Brilon;2
132342;Winterberg, KG Am Postteich;BR Arnsberg;Hochsauerlandkreis;Winterberg;3
132366;Medebach, GG (Verb.) Hanse;BR Arnsberg;Hochsauerlandkreis;Medebach;2
132408;Olsberg, KG Kardinal-von-Galen-Schule;BR Arnsberg;Hochsauerlandkreis;Olsberg;2
132410;Olsberg, KG St.Martinus-Schule;BR Arnsberg;Hochsauerlandkreis;Olsberg;2
132433;Olsberg, KG Franziskus;BR Arnsberg;Hochsauerlandkreis;Olsberg;2
132457;Winterberg, KG St.Josef;BR Arnsberg;Hochsauerlandkreis;Winterberg;2
132470;Hallenberg, KG Elbersbach;BR Arnsberg;Hochsauerlandkreis;Hallenberg;2
132524;Marsberg,GG Naturparkgrundschule Giersh.;BR Arnsberg;Hochsauerlandkreis;Marsberg;1
132550;Marsberg, KG Schule am Burghof;BR Arnsberg;Hochsauerlandkreis;Marsberg;2
132573;Winterberg, KG Niedersfeld;BR Arnsberg;Hochsauerlandkreis;Winterberg;1
132640;Brilon, KG (Verb.) Thlen-Alme-Hoppecke;BR Arnsberg;Hochsauerlandkreis;Brilon;2
132652;Breckerfeld, GG Ostring;BR Arnsberg;Ennepe-Ruhr-Kreis;Breckerfeld;1
132676;Hagen, GG Volmetal;BR Arnsberg;Stadt Hagen;Hagen;2
132706;Ennepetal, GG Bttenberg;BR Arnsberg;Ennepe-Ruhr-Kreis;Ennepetal;2
132718;Ennepetal, GG (Verb.) Wassermaus;BR Arnsberg;Ennepe-Ruhr-Kreis;Ennepetal;3
132720;Ennepetal, GG Altenvoerde;BR Arnsberg;Ennepe-Ruhr-Kreis;Ennepetal;2
132731;Ennepetal, GG Voerde;BR Arnsberg;Ennepe-Ruhr-Kreis;Ennepetal;4
132755;Ennepetal, KG Kirchstr.;BR Arnsberg;Ennepe-Ruhr-Kreis;Ennepetal;3
132779;Gevelsberg, GG Pestalozzischule;BR Arnsberg;Ennepe-Ruhr-Kreis;Gevelsberg;3
132780;Gevelsberg, GG Am Strckerberg;BR Arnsberg;Ennepe-Ruhr-Kreis;Gevelsberg;2
132792;Gevelsberg, GG Schnellmark;BR Arnsberg;Ennepe-Ruhr-Kreis;Gevelsberg;4
132810;Gevelsberg, GG Silschede;BR Arnsberg;Ennepe-Ruhr-Kreis;Gevelsberg;1
132822;Hattingen, GG Bredenscheid;BR Arnsberg;Ennepe-Ruhr-Kreis;Hattingen;1
132834;Hattingen, GG Oberwinzerfeld;BR Arnsberg;Ennepe-Ruhr-Kreis;Hattingen;3
132860;Hattingen, KG Weiltor St.Franzsikus;BR Arnsberg;Ennepe-Ruhr-Kreis;Hattingen;3
132883;Hattingen, GG Heggerfeld;BR Arnsberg;Ennepe-Ruhr-Kreis;Hattingen;6
132895;Hattingen, GG Bruchfeld;BR Arnsberg;Ennepe-Ruhr-Kreis;Hattingen;2
132901;Hattingen, GG Holthausen;BR Arnsberg;Ennepe-Ruhr-Kreis;Hattingen;3
132937;Hattingen,GG Niederwenigern Nikol.Gro߻BR Arnsberg;Ennepe-Ruhr-Kreis;Hattingen;1;
132950;Hattingen, GG Alt-Blankenstein;BR Arnsberg;Ennepe-Ruhr-Kreis;Hattingen;1
132962;Hattingen, GG Erik-N��ng;BR Arnsberg;Ennepe-Ruhr-Kreis;Hattingen;3
132974;Witten, GG Buchholzer Schule;BR Arnsberg;Ennepe-Ruhr-Kreis;Witten;1
132986;Witten, GG Vormholzer Schule;BR Arnsberg;Ennepe-Ruhr-Kreis;Witten;3
133000;Witten, GG Herbeder;BR Arnsberg;Ennepe-Ruhr-Kreis;Witten;1
133024;Herdecke, GG Hugo Knauer;BR Arnsberg;Ennepe-Ruhr-Kreis;Herdecke;1
133036;Herdecke, GG Schraberg;BR Arnsberg;Ennepe-Ruhr-Kreis;Herdecke;1
133048;Herdecke, GG Robert-Bonnermann-Schule;BR Arnsberg;Ennepe-Ruhr-Kreis;Herdecke;3
133050;Schwelm, GG Nordstadt;BR Arnsberg;Ennepe-Ruhr-Kreis;Schwelm;4
133073;Schwelm, GG Engelbertstr.;BR Arnsberg;Ennepe-Ruhr-Kreis;Schwelm;2
133085;Schwelm, GG L䮤chenweg;BR Arnsberg;Ennepe-Ruhr-Kreis;Schwelm;3
133097;Schwelm, KG St.Marien;BR Arnsberg;Ennepe-Ruhr-Kreis;Schwelm;3
133115;Sprockh��, GG Hobeuken;BR Arnsberg;Ennepe-Ruhr-Kreis;Sprockh��;1
133127;Sprockh��, GG Ha߬inghausen;BR Arnsberg;Ennepe-Ruhr-Kreis;Sprockh��;2
133139;Sprockh��, GG B��rsbruch;BR Arnsberg;Ennepe-Ruhr-Kreis;Sprockh��;2
133140;Sprockh��, GG Gennebreck-Herzkamp;BR Arnsberg;Ennepe-Ruhr-Kreis;Sprockh��;1
133152;Wetter, KG St. Rafael;BR Arnsberg;Ennepe-Ruhr-Kreis;Wetter;3
133164;Wetter, GG Bergstr.;BR Arnsberg;Ennepe-Ruhr-Kreis;Wetter;2
133176;Wetter, GG Grundsch��l;BR Arnsberg;Ennepe-Ruhr-Kreis;Wetter;2
133190;Wetter, GG (Verb.) Elbschebach;BR Arnsberg;Ennepe-Ruhr-Kreis;Wetter;2
133206;Wetter, GG Volmarstein;BR Arnsberg;Ennepe-Ruhr-Kreis;Wetter;1
133218;Hagen, GG Heide Hohenlimburg;BR Arnsberg;Stadt Hagen;Hagen;2
133231;Hagen, KG Wesselbach;BR Arnsberg;Stadt Hagen;Hagen;1
133255;Hagen, GG (Verb.) Im Kley;BR Arnsberg;Stadt Hagen;Hagen;4
133267;Iserlohn, GG Saat;BR Arnsberg;M䲫ischen Kreis;Iserlohn;1
133280;Iserlohn, GG Bartholom䵳schule;BR Arnsberg;M䲫ischen Kreis;Iserlohn;2
133292;Iserlohn, KG Kilianschule;BR Arnsberg;M䲫ischen Kreis;Iserlohn;3
133309;Menden, KG Josefschule Menden;BR Arnsberg;M䲫ischen Kreis;Menden;4
133322;Menden, GG (Verb.) Albert-Schweitzer;BR Arnsberg;M䲫ischen Kreis;Menden;2
133358;Schwerte, GG Friedrich-Kayser-Schule;BR Arnsberg;Kreis Unna;Schwerte;5
133360;Schwerte, GG Lenningskamp;BR Arnsberg;Kreis Unna;Schwerte;3
133383;Schwerte, GG Heide;BR Arnsberg;Kreis Unna;Schwerte;1
133401;Hagen, GG Berchum/Garenfeld;BR Arnsberg;Stadt Hagen;Hagen;2
133413;Schwerte, EG Ergste;BR Arnsberg;Kreis Unna;Schwerte;1
133437;Hemer, GG Oesetalschule;BR Arnsberg;M䲫ischen Kreis;Hemer;2
133449;Hemer, GG Deilinghofenerschule;BR Arnsberg;M䲫ischen Kreis;Hemer;1
133450;Hemer, GG Brabeckschule;BR Arnsberg;M䲫ischen Kreis;Hemer;1
133462;Hemer, GG Woesteschule;BR Arnsberg;M䲫ischen Kreis;Hemer;4
133474;Hemer, GG Freiherr-vom-Stein;BR Arnsberg;M䲫ischen Kreis;Hemer;4
133486;Hemer, GG Diesterwegschule;BR Arnsberg;M䲫ischen Kreis;Hemer;2
133498;Hemer, GG Wulfertschule;BR Arnsberg;M䲫ischen Kreis;Hemer;2
133504;Hemer, GG Ihmerter;BR Arnsberg;M䲫ischen Kreis;Hemer;1
133516;Menden, GG Nikolaus-Gro߭Schule/B��rde;BR Arnsberg;M䲫ischen Kreis;Menden;1
133530;Menden, GG (Verb.) Bischof-von-Ketteler;BR Arnsberg;M䲫ischen Kreis;Menden;3
133565;Menden, KG Josefschule Lendringsen;BR Arnsberg;M䲫ischen Kreis;Menden;3
133590;Iserlohn, GG Smmern;BR Arnsberg;M䲫ischen Kreis;Iserlohn;2
133607;Dortmund, GG Eintracht;BR Arnsberg;Stadt Dortmund;Dortmund;3
133619;Dortmund, GG Lichtendorf;BR Arnsberg;Stadt Dortmund;Dortmund;1
133620;Schwerte, GG Villigst;BR Arnsberg;Kreis Unna;Schwerte;1
133644;Schwerte, GG Reichshofschule;BR Arnsberg;Kreis Unna;Schwerte;2
133668;Geseke, KG Alfred-Delp-Schule;BR Arnsberg;Kreis Soest;Geseke;3
133670;Geseke, KG Dr.-Adenauer-Schule;BR Arnsberg;Kreis Soest;Geseke;2
133681;Geseke, KG St.Marienschule;BR Arnsberg;Kreis Soest;Geseke;2
133700;Lippstadt, GG (Verb.) Friedrichschule;BR Arnsberg;Kreis Soest;Lippstadt;3
133711;Lippstadt, GG Hans-Christian-Andersen;BR Arnsberg;Kreis Soest;Lippstadt;2
133723;Lippstadt, GG an der Pappelallee;BR Arnsberg;Kreis Soest;Lippstadt;6
133735;Lippstadt, GG Josefschule;BR Arnsberg;Kreis Soest;Lippstadt;3
133747;Lippstadt, GG Nikolaischule;BR Arnsberg;Kreis Soest;Lippstadt;3
133760;Lippstadt, GG Martin-Schule;BR Arnsberg;Kreis Soest;Lippstadt;2
133772;Lippstadt, GG (Verb.) Lipperode-Lipperbr;BR Arnsberg;Kreis Soest;Lippstadt;2
133784;Anr��e, KG (Verb.) Pankratiusschule;BR Arnsberg;Kreis Soest;Anr��e;2
133802;Lippstadt, GG Benninghausen;BR Arnsberg;Kreis Soest;Lippstadt;1
133814;Erwitte, GG Erich K䳴ner;BR Arnsberg;Kreis Soest;Erwitte;1
133838;Erwitte, GG Astrid-Lindgren;BR Arnsberg;Kreis Soest;Erwitte;2
133863;Rthen, GG Luzia-Schule;BR Arnsberg;Kreis Soest;Rthen;1
133875;Rthen, GG (Verb.) Nikolausschule;BR Arnsberg;Kreis Soest;Rthen;2
133899;Lippstadt, GG (Verb.) Im Kleefeld;BR Arnsberg;Kreis Soest;Lippstadt;1
133917;Geseke, KG Pankratiusschule;BR Arnsberg;Kreis Soest;Geseke;2
133930;Meschede, KG St. Johannes-Schule;BR Arnsberg;Hochsauerlandkreis;Meschede;1
133954;Bestwig, GG am Sengenberg;BR Arnsberg;Hochsauerlandkreis;Bestwig;2
133966;Bestwig, GG Wilhelmine-Lbke;BR Arnsberg;Hochsauerlandkreis;Bestwig;2
133978;Bestwig, GG Andreas;BR Arnsberg;Hochsauerlandkreis;Bestwig;3
133980;Eslohe, KG (Verb.) Raphael-Schule;BR Arnsberg;Hochsauerlandkreis;Eslohe;2
134028;Schmallenberg, KG Berghausen;BR Arnsberg;Hochsauerlandkreis;Schmallenberg;1
134030;Schmallenberg, GG B��eld;BR Arnsberg;Hochsauerlandkreis;Schmallenberg;2
134065;Schmallenberg, KG Bad Fredeburg;BR Arnsberg;Hochsauerlandkreis;Schmallenberg;2
134089;Meschede, KG Luziaschule Berge;BR Arnsberg;Hochsauerlandkreis;Meschede;1
134119;Meschede, KG Marienschule;BR Arnsberg;Hochsauerlandkreis;Meschede;3
134132;Meschede,KG(Verb.)Schule u.d.Regenbogen;BR Arnsberg;Hochsauerlandkreis;Meschede;2
134156;Schmallenberg, KG Fleckenberg;BR Arnsberg;Hochsauerlandkreis;Schmallenberg;1
134181;Schmallenberg, KG St.Michael;BR Arnsberg;Hochsauerlandkreis;Schmallenberg;1
134211;Schmallenberg, GG (Verb.) Ringstraߥ;BR Arnsberg;Hochsauerlandkreis;Schmallenberg;2
134247;Attendorn, GG Ennest;BR Arnsberg;Kreis Olpe;Attendorn;2
134259;Attendorn, KG Marienschule;BR Arnsberg;Kreis Olpe;Attendorn;1
134260;Attendorn, KG (Verb.) Sonnenschule;BR Arnsberg;Kreis Olpe;Attendorn;2
134296;Drolshagen, KG (Verb.)Gr䦩n-Sayn-Schule;BR Arnsberg;Kreis Olpe;Drolshagen;1
134387;Finnentrop,GG(Verb.)Lennetal-Bameno.R��BR Arnsberg;Kreis Olpe;Finnentrop;3;
134399;Finnentrop, GG Heggen;BR Arnsberg;Kreis Olpe;Finnentrop;3
134405;Finnentrop, KG (Verb.) St. Matthias;BR Arnsberg;Kreis Olpe;Finnentrop;1
134417;Kirchhundem, GG Welschen Ennest;BR Arnsberg;Kreis Olpe;Kirchhundem;2
134429;Kirchhundem, GG St. Katharina;BR Arnsberg;Kreis Olpe;Kirchhundem;1
134454;Kirchhundem, GG am Kreuzberg;BR Arnsberg;Kreis Olpe;Kirchhundem;2
134480;Lennestadt, KG (Verb.) St.-Agatha-Schule;BR Arnsberg;Kreis Olpe;Lennestadt;3
134521;Lennestadt, KG (Verb.) Oene-Elspe-Tal;BR Arnsberg;Kreis Olpe;Lennestadt;2
134533;Lennestadt, GG Marienschule;BR Arnsberg;Kreis Olpe;Lennestadt;1
134569;Lennestadt, GG St. Nikolaus;BR Arnsberg;Kreis Olpe;Lennestadt;2
134570;Lennestadt, KG (Verb.) Franziskus-Schule;BR Arnsberg;Kreis Olpe;Lennestadt;4
134582;Olpe, KG Franz-Hitze-Schule;BR Arnsberg;Kreis Olpe;Olpe;1
134600;Olpe, KG (Verb.) Dringerschule;BR Arnsberg;Kreis Olpe;Olpe;2
134648;Olpe, GG Olpe am Hohenstein;BR Arnsberg;Kreis Olpe;Olpe;2
134661;Wenden, KG Gerlingen;BR Arnsberg;Kreis Olpe;Wenden;2
134685;Wenden, GG Hnsborn;BR Arnsberg;Kreis Olpe;Wenden;2
134703;Wenden, KG (Verb.) Wendener Land;BR Arnsberg;Kreis Olpe;Wenden;2
134727;Hilchenbach, GG Florenburg-Schule;BR Arnsberg;Kreis Siegen-Wittgenstein;Hilchenbach;1
134739;Hilchenbach, GG Msen;BR Arnsberg;Kreis Siegen-Wittgenstein;Hilchenbach;3
134764;Siegen, GG (Verb.) auf dem Hubenfeld;BR Arnsberg;Kreis Siegen-Wittgenstein;Siegen;2
134790;Siegen, GG (Verb.) Eiserfeld;BR Arnsberg;Kreis Siegen-Wittgenstein;Siegen;3
134831;Siegen, GG Friedrich-Flender-Schule;BR Arnsberg;Kreis Siegen-Wittgenstein;Siegen;5
134843;Siegen, GG Birlenbacherschule;BR Arnsberg;Kreis Siegen-Wittgenstein;Siegen;3
134855;Siegen, GG Albert-Schweitzer-Schule;BR Arnsberg;Kreis Siegen-Wittgenstein;Siegen;4
134867;Siegen, GG Glckaufschule;BR Arnsberg;Kreis Siegen-Wittgenstein;Siegen;3
134879;Siegen, GG Geisweider;BR Arnsberg;Kreis Siegen-Wittgenstein;Siegen;5
134892;Siegen, GG Jung-Stilling-Schule;BR Arnsberg;Kreis Siegen-Wittgenstein;Siegen;2
134909;Siegen, GG Sonnenhangschule;BR Arnsberg;Kreis Siegen-Wittgenstein;Siegen;2
134910;Siegen, GG Diesterwegschule;BR Arnsberg;Kreis Siegen-Wittgenstein;Siegen;4
134922;Siegen, GG Montessori am Lindenberg;BR Arnsberg;Kreis Siegen-Wittgenstein;Siegen;3
134934;Siegen, GG Giersbergschule;BR Arnsberg;Kreis Siegen-Wittgenstein;Siegen;4
134946;Siegen, GG Kaan-Marienborn;BR Arnsberg;Kreis Siegen-Wittgenstein;Siegen;2
134960;Siegen, KG Hammerhtter;BR Arnsberg;Kreis Siegen-Wittgenstein;Siegen;3
134971;Siegen, GG Spandauer;BR Arnsberg;Kreis Siegen-Wittgenstein;Siegen;4
134995;Siegen, GG Obenstruth;BR Arnsberg;Kreis Siegen-Wittgenstein;Siegen;4
135008;Siegen, GG Nordschule;BR Arnsberg;Kreis Siegen-Wittgenstein;Siegen;6
135033;Burbach, GG Marktplatz;BR Arnsberg;Kreis Siegen-Wittgenstein;Burbach;2
135045;Freudenberg, GG Alchen;BR Arnsberg;Kreis Siegen-Wittgenstein;Freudenberg;2
135057;Freudenberg, GG Bschergrund;BR Arnsberg;Kreis Siegen-Wittgenstein;Freudenberg;1
135069;Freudenberg, GG Am Alten Flecken;BR Arnsberg;Kreis Siegen-Wittgenstein;Freudenberg;2
135070;Freudenberg, GG Oberfischbach;BR Arnsberg;Kreis Siegen-Wittgenstein;Freudenberg;1
135094;Kreuztal, GG Bodelschwingh Schule;BR Arnsberg;Kreis Siegen-Wittgenstein;Kreuztal;5
135100;Kreuztal, GG (Verb.) Adolf-Wurmbach;BR Arnsberg;Kreis Siegen-Wittgenstein;Kreuztal;2
135112;Kreuztal, GG Fellinghausen;BR Arnsberg;Kreis Siegen-Wittgenstein;Kreuztal;2
135124;Kreuztal, GG Jung-Stilling-Schule;BR Arnsberg;Kreis Siegen-Wittgenstein;Kreuztal;2
135136;Kreuztal, KG St. Martin-Schule;BR Arnsberg;Kreis Siegen-Wittgenstein;Kreuztal;2
135148;Kreuztal,GG an Dreslers Park;BR Arnsberg;Kreis Siegen-Wittgenstein;Kreuztal;6
135161;Neunkirchen, GG Salchendorf;BR Arnsberg;Kreis Siegen-Wittgenstein;Neunkirchen;3
135185;Neunkirchen, GG Kopernikus;BR Arnsberg;Kreis Siegen-Wittgenstein;Neunkirchen;3
135197;Netphen, GG Johannlandschule;BR Arnsberg;Kreis Siegen-Wittgenstein;Netphen;1
135215;Netphen, GG (Verb.) Frohnhausener Str.;BR Arnsberg;Kreis Siegen-Wittgenstein;Netphen;3
135240;Netphen, GG Deuz;BR Arnsberg;Kreis Siegen-Wittgenstein;Netphen;2
135264;Netphen, GG (Verb.) Dreisbachtalschule;BR Arnsberg;Kreis Siegen-Wittgenstein;Netphen;3
135288;Wilnsdorf, GG Vorm Brand;BR Arnsberg;Kreis Siegen-Wittgenstein;Wilnsdorf;1
135290;Wilnsdorf, GG Wilgersdorf;BR Arnsberg;Kreis Siegen-Wittgenstein;Wilnsdorf;1
135331;Wilnsdorf, GG Dielfen;BR Arnsberg;Kreis Siegen-Wittgenstein;Wilnsdorf;1
135343;Wilnsdorf, KG Rudersdorf;BR Arnsberg;Kreis Siegen-Wittgenstein;Wilnsdorf;3
135355;Ense, GG Bernhardusschule Niederense;BR Arnsberg;Kreis Soest;Ense;1
135367;Ense, KG Frstenberg;BR Arnsberg;Kreis Soest;Ense;1
135379;Ense, GG H��en;BR Arnsberg;Kreis Soest;Ense;1
135380;Lippetal, KG St. Stephanus-Schule;BR Arnsberg;Kreis Soest;Lippetal;2
135392;Lippetal, KG St. Ida-Schule Herzfeld;BR Arnsberg;Kreis Soest;Lippetal;1
135409;Lippetal, KG Ludgerus-Schule Lippborg;BR Arnsberg;Kreis Soest;Lippetal;2
135434;M��see, KG (Verb.) M��see;BR Arnsberg;Kreis Soest;M��see;1
135446;Bad Sassendorf, GG S䬺er;BR Arnsberg;Kreis Soest;Bad Sassendorf;2
135458;Soest, GG Hellweg;BR Arnsberg;Kreis Soest;Soest;1
135460;Soest, GG Johannes;BR Arnsberg;Kreis Soest;Soest;4
